Date,StartTime,EndTime,Topic,ID,Partner,Excite,Serious,Smooth,Bright,Eminet,Close,Equal,Relax,Sadness,Excited,Fear,Disgust,Joy,Unhappy-Happy,Calm-Excited,Controlled-Incontrol
27-Dec,14:18:30PM,14:19:30PM,兴趣,0_0,chen,1,5,2,1,2,2,1,4,1,3,1,1,5,8,7,9
27-Dec,14:19:30PM,14:20:30PM,兴趣,0_1,chen,1,5,2,1,2,2,1,4,1,3,1,1,5,8,7,9
27-Dec,14:20:30PM,14:21:30PM,兴趣,0_2,chen,1,5,2,1,2,2,1,4,1,3,1,1,5,8,7,9
27-Dec,14:25:30PM,14:26:30PM,超能力,1_0,chen,1,5,4,1,4,1,1,5,1,5,1,1,5,9,9,9
27-Dec,14:26:30PM,14:27:30PM,超能力,1_1,chen,1,5,4,1,4,1,1,5,1,5,1,1,5,9,9,9
27-Dec,14:27:30PM,14:28:30PM,超能力,1_2,chen,1,5,4,1,4,1,1,5,1,5,1,1,5,9,9,9
27-Dec,14:32:16PM,14:33:16PM,悲伤,2_0,chen,5,2,2,4,4,4,1,2,5,1,1,1,1,1,3,2
27-Dec,14:33:16PM,14:34:16PM,悲伤,2_1,chen,5,2,2,4,4,4,1,2,5,1,1,1,1,1,3,2
27-Dec,14:34:16PM,14:35:16PM,悲伤,2_2,chen,5,2,2,4,4,4,1,2,5,1,1,1,1,1,3,2
27-Dec,14:39:15PM,14:40:15PM,可怕,3_0,chen,4,4,4,4,5,1,1,4,2,1,4,1,1,3,7,3
27-Dec,14:40:15PM,14:41:15PM,可怕,3_1,chen,4,4,4,4,5,1,1,4,2,1,4,1,1,3,7,3
27-Dec,14:41:15PM,14:42:15PM,可怕,3_2,chen,4,4,4,4,5,1,1,4,2,1,4,1,1,3,7,3
27-Dec,14:48:00PM,14:49:00PM,丁克,4_0,chen,1,2,2,1,2,1,1,5,1,4,1,1,5,9,9,9
27-Dec,14:49:00PM,14:50:00PM,丁克,4_1,chen,1,2,2,1,2,1,1,5,1,4,1,1,5,9,9,9
27-Dec,14:50:00PM,14:51:00PM,丁克,4_2,chen,1,2,2,1,2,1,1,5,1,4,1,1,5,9,9,9
